timestamp,dht22_temp,bmp_180_temp,dht22_hum,bmp_180_presure
2017-01-17T18:23:22+00:00,21.90,22.00,47.90,103304
2017-01-17T18:23:24+00:00,21.90,22.00,47.90,103309
2017-01-17T18:23:26+00:00,21.90,22.00,47.90,103303
2017-01-17T18:23:29+00:00,21.90,22.00,47.90,103307
2017-01-17T18:23:31+00:00,21.90,22.00,47.90,103301
2017-01-17T18:23:33+00:00,21.90,22.00,47.90,103307
2017-01-17T18:23:36+00:00,21.90,22.00,47.90,103309
2017-01-17T18:23:38+00:00,21.90,22.00,47.90,103308
2017-01-17T18:23:40+00:00,21.90,22.00,47.90,103308
2017-01-17T18:23:43+00:00,22.00,22.00,48.00,103308
2017-01-17T18:23:45+00:00,21.90,22.00,47.90,103312
2017-01-17T18:23:47+00:00,21.90,22.00,47.90,103309
2017-01-17T18:23:50+00:00,21.90,22.00,47.90,103308
2017-01-17T18:23:52+00:00,22.00,22.00,48.00,103308
2017-01-17T18:23:55+00:00,21.90,22.00,47.80,103304
2017-01-17T18:23:57+00:00,22.00,22.00,48.00,103305
2017-01-17T18:23:59+00:00,21.90,22.00,47.80,103305
2017-01-17T18:24:02+00:00,21.90,22.00,47.90,103301
2017-01-17T18:24:04+00:00,21.90,22.00,47.90,103305
2017-01-17T18:24:06+00:00,21.90,22.00,47.90,103301
2017-01-17T18:24:09+00:00,21.90,22.00,47.90,103302
2017-01-17T18:24:11+00:00,21.90,22.00,47.90,103308
2017-01-17T18:24:13+00:00,21.90,22.00,47.90,103302
2017-01-17T18:24:16+00:00,21.90,22.00,47.90,103308
2017-01-17T18:24:18+00:00,21.90,22.00,47.90,103307
2017-01-17T18:24:20+00:00,21.90,22.00,47.90,103305
2017-01-17T18:24:23+00:00,21.90,22.00,47.90,103312
2017-01-17T18:24:25+00:00,21.90,22.00,47.90,103310
2017-01-17T18:24:27+00:00,21.90,22.00,47.90,103303
2017-01-17T18:24:30+00:00,21.90,22.00,47.90,103307
2017-01-17T18:24:32+00:00,21.90,22.00,47.90,103309
2017-01-17T18:24:35+00:00,21.90,22.00,47.90,103302
2017-01-17T18:24:37+00:00,21.90,22.00,47.90,103307
2017-01-17T18:24:39+00:00,21.90,22.00,47.90,103309
2017-01-17T18:24:42+00:00,21.90,22.00,48.00,103313
2017-01-17T18:24:44+00:00,21.90,22.00,47.90,103310
2017-01-17T18:24:46+00:00,21.90,22.00,47.90,103306
2017-01-17T18:24:49+00:00,21.90,22.00,48.00,103311
2017-01-17T18:24:51+00:00,21.90,22.00,48.00,103311
2017-01-17T18:24:53+00:00,21.90,22.00,48.00,103306
2017-01-17T18:24:56+00:00,21.90,22.00,48.00,103310
2017-01-17T18:24:58+00:00,21.90,22.00,48.00,103303
2017-01-17T18:25:00+00:00,21.90,22.00,47.90,103311
2017-01-17T18:25:03+00:00,21.90,22.00,47.90,103309
2017-01-17T18:25:05+00:00,21.90,22.00,47.90,103303
2017-01-17T18:25:07+00:00,21.90,22.00,47.90,103308
2017-01-17T18:25:10+00:00,21.90,22.00,47.90,103306
2017-01-17T18:25:12+00:00,21.90,22.00,47.90,103307
2017-01-17T18:25:14+00:00,21.90,22.00,48.00,103305
2017-01-17T18:25:17+00:00,21.90,22.00,47.90,103309
2017-01-17T18:25:19+00:00,21.90,22.00,47.90,103316
2017-01-17T18:25:22+00:00,21.90,21.90,47.90,103307
2017-01-17T18:25:24+00:00,21.90,21.90,47.90,103301
2017-01-17T18:25:26+00:00,21.90,21.90,47.90,103302
2017-01-17T18:25:29+00:00,21.90,21.90,47.90,103307
2017-01-17T18:25:31+00:00,21.90,21.90,47.90,103311
2017-01-17T18:25:33+00:00,21.90,21.90,47.90,103300
2017-01-17T18:25:36+00:00,21.90,21.90,47.90,103309
2017-01-17T18:25:38+00:00,21.90,21.90,47.90,103307
2017-01-17T18:25:40+00:00,21.90,22.00,47.90,103306
2017-01-17T18:25:43+00:00,21.90,22.00,47.90,103312
2017-01-17T18:25:45+00:00,21.90,22.00,47.90,103313
2017-01-17T18:25:47+00:00,21.90,22.00,47.90,103302
2017-01-17T18:25:50+00:00,21.90,22.00,47.90,103309
2017-01-17T18:25:52+00:00,21.90,22.00,47.90,103305
2017-01-17T18:25:54+00:00,21.90,22.00,47.90,103310
2017-01-17T18:25:57+00:00,21.90,22.00,47.90,103307
2017-01-17T18:25:59+00:00,21.90,22.00,47.90,103308
2017-01-17T18:26:02+00:00,21.90,22.00,47.90,103312
2017-01-17T18:26:04+00:00,21.90,22.00,47.90,103305
2017-01-17T18:26:06+00:00,21.90,22.00,47.90,103308
2017-01-17T18:26:09+00:00,21.90,22.00,47.90,103306
2017-01-17T18:26:11+00:00,21.90,22.00,47.90,103313
2017-01-17T18:26:13+00:00,22.00,22.00,48.00,103308
2017-01-17T18:26:16+00:00,21.90,22.00,47.90,103308
2017-01-17T18:26:18+00:00,21.90,22.00,47.90,103304
2017-01-17T18:26:20+00:00,21.90,22.00,47.90,103313
2017-01-17T18:26:23+00:00,21.90,22.00,47.90,103311
2017-01-17T18:26:25+00:00,21.90,22.00,47.90,103303
2017-01-17T18:26:27+00:00,21.90,22.00,48.00,103308
2017-01-17T18:26:30+00:00,21.90,22.00,47.90,103308
2017-01-17T18:26:32+00:00,21.90,22.00,47.90,103308
2017-01-17T18:26:34+00:00,21.90,22.00,47.90,103301
2017-01-17T18:26:37+00:00,22.00,22.00,48.10,103305
2017-01-17T18:26:39+00:00,22.00,22.00,48.90,103310
2017-01-17T18:26:41+00:00,21.90,22.00,49.40,103311
2017-01-17T18:26:44+00:00,21.90,22.00,49.40,103314
2017-01-17T18:26:46+00:00,21.90,22.00,49.00,103315
2017-01-17T18:26:49+00:00,22.00,22.00,48.80,103304
2017-01-17T18:26:51+00:00,21.90,22.00,48.40,103306
2017-01-17T18:26:53+00:00,21.90,22.00,48.30,103313
2017-01-17T18:26:56+00:00,21.90,22.00,48.20,103310
2017-01-17T18:26:58+00:00,21.90,22.00,48.20,103308
2017-01-17T18:27:00+00:00,21.90,22.00,48.10,103315
2017-01-17T18:27:03+00:00,21.90,22.00,48.00,103309
2017-01-17T18:27:05+00:00,21.90,22.00,48.00,103310
2017-01-17T18:27:07+00:00,21.90,22.00,48.00,103308
2017-01-17T18:27:10+00:00,21.90,22.00,48.00,103311
2017-01-17T18:27:12+00:00,21.90,22.00,48.00,103317
2017-01-17T18:27:14+00:00,21.90,22.00,48.00,103305
2017-01-17T18:27:17+00:00,21.90,22.00,48.00,103314
2017-01-17T18:27:19+00:00,22.00,22.00,48.10,103316
2017-01-17T18:27:21+00:00,22.00,22.00,48.10,103310
2017-01-17T18:27:24+00:00,21.90,22.00,48.00,103307
2017-01-17T18:27:26+00:00,21.90,22.00,47.90,103314
2017-01-17T18:27:29+00:00,22.00,22.00,48.10,103317
2017-01-17T18:27:31+00:00,21.90,22.00,48.00,103313
2017-01-17T18:27:33+00:00,21.90,22.00,48.00,103306
2017-01-17T18:27:36+00:00,21.90,22.00,48.00,103304
2017-01-17T18:27:38+00:00,21.90,22.00,48.00,103310
